Temperature (°C),Pressure (MPa),Specific volume vf (m³/kg),Specific volume vg (m³/kg),Internal energy uf (kJ/kg),Internal energy ug (kJ/kg),Enthalpy hf (kJ/kg),Enthalpy hg (kJ/kg),Entropy sf (kJ/kg·K),Entropy sg (kJ/kg·K)
110,0.14327,0.001052,1.2102,461.14,2518.1,461.30,2691.5,1.4185,7.2387
115,0.16906,0.001056,1.0366,482.30,2523.7,482.48,2699.0,1.4734,7.1833
120,0.19853,0.001060,0.8919,503.50,2529.3,503.71,2706.3,1.5276,7.1296
125,0.2321,0.001065,0.7706,524.74,2534.6,524.99,2713.5,1.5813,7.0775
130,0.2701,0.001070,0.6685,546.02,2539.9,546.31,2720.5,1.6344,7.0269
135,0.3130,0.001075,0.5822,567.35,2545.0,567.69,2727.3,1.6870,6.9777
140,0.3613,0.001080,0.5089,588.74,2550.0,589.13,2733.9,1.7391,6.9299
145,0.4154,0.001085,0.4463,610.18,2554.9,610.63,2740.3,1.7907,6.8833
150,0.4758,0.001091,0.3928,631.68,2559.5,632.20,2746.5,1.8418,6.8379
155,0.5431,0.001096,0.3468,653.24,2564.1,653.84,2752.4,1.8925,6.7935
160,0.6178,0.001102,0.3071,674.87,2568.4,675.55,2758.1,1.9427,6.7502
165,0.7005,0.001108,0.2727,696.56,2572.5,697.34,2763.5,1.9925,6.7078
170,0.7917,0.001114,0.2428,718.33,2576.5,719.21,2768.7,2.0419,6.6663
175,0.8920,0.001121,0.2168,740.17,2580.2,741.17,2773.6,2.0909,6.6256
180,1.0021,0.001127,0.19405,762.09,2583.7,763.22,2778.2,2.1396,6.5857
185,1.1227,0.001134,0.17409,784.10,2587.0,785.37,2782.4,2.1879,6.5465
190,1.2544,0.001141,0.15654,806.19,2590.0,807.62,2786.4,2.2359,6.5079
195,1.3978,0.001149,0.14105,828.37,2592.8,829.98,2790.0,2.2835,6.4698
200,1.5538,0.001157,0.12736,850.65,2595.3,852.45,2793.2,2.3309,6.4323
205,1.7230,0.001164,0.11521,873.04,2597.5,875.04,2796.0,2.3780,6.3952
210,1.9062,0.001173,0.10441,895.53,2599.5,897.76,2798.5,2.4248,6.3585
215,2.104,0.001181,0.09479,918.14,2601.1,920.62,2800.5,2.4714,6.3221
220,2.318,0.001190,0.08619,940.87,2602.4,943.62,2802.1,2.5178,6.2861
225,2.548,0.001199,0.07849,963.73,2603.3,966.78,2803.3,2.5639,6.2503
230,2.795,0.001209,0.07158,986.74,2603.9,990.12,2804.0,2.6099,6.2146
235,3.060,0.001219,0.06537,1009.89,2604.1,1013.62,2804.2,2.6558,6.1791
240,3.344,0.001229,0.05976,1033.21,2604.0,1037.32,2803.8,2.7015,6.1437
245,3.648,0.001240,0.05471,1056.71,2603.4,1061.23,2803.0,2.7472,6.1083
250,3.973,0.001251,0.05013,1080.39,2602.4,1085.36,2801.5,2.7927,6.0730
255,4.319,0.001263,0.04598,1104.28,2600.9,1109.73,2799.5,2.8383,6.0375
260,4.688,0.001276,0.04221,1128.39,2599.0,1134.37,2796.9,2.8838,6.0019
265,5.081,0.001289,0.03877,1152.74,2596.6,1159.28,2793.6,2.9294,5.9662
270,5.499,0.001302,0.03564,1177.36,2593.7,1184.51,2789.7,2.9751,5.9301
275,5.942,0.001317,0.03279,1202.25,2590.2,1210.07,2785.0,3.0208,5.8938
280,6.412,0.001332,0.03017,1227.46,2586.1,1235.99,2779.6,3.0668,5.8571
285,6.909,0.001348,0.02777,1253.00,2581.4,1262.31,2773.3,3.1130,5.8199
290,7.436,0.001366,0.02557,1278.92,2576.0,1289.07,2766.2,3.1594,5.7821
295,7.993,0.001384,0.02354,1305.20,2569.9,1316.30,2758.1,3.2062,5.7437
300,8.581,0.001404,0.02167,1332.00,2563.0,1344.00,2749.0,3.2534,5.7045
305,9.202,0.001425,0.019948,1359.30,2555.2,1372.40,2738.7,3.3010,5.6643
310,9.856,0.001447,0.018350,1387.10,2546.4,1401.30,2727.3,3.3493,5.6230
315,10.547,0.001472,0.016867,1415.50,2536.6,1431.00,2714.5,3.3982,5.5804
320,11.274,0.001499,0.015488,1444.60,2525.5,1461.50,2700.1,3.4480,5.5362
330,12.845,0.001561,0.012996,1505.30,2498.9,1525.30,2665.9,3.5507,5.4417
340,14.586,0.001638,0.010797,1570.30,2464.6,1594.20,2622.0,3.6594,5.3357
350,16.513,0.001740,0.008813,1641.90,2418.4,1670.60,2563.9,3.7777,5.2112
360,18.651,0.001893,0.006945,1725.20,2351.5,1760.50,2481.0,3.9147,5.0526
370,21.03,0.002213,0.004925,1844.00,2228.5,1890.50,2332.1,4.1106,4.7971
374.14,22.09,0.003155,0.003155,2029.60,2029.6,2099.30,2099.3,4.4298,4.4298
